gen,description,te_class_suzukii
napi-t,Na[+]-dependent inorganic phosphate,DNA/RC
lncrna:cr45329,long non-coding,LINE
pgm2b,Phosphoglucomutase,LINE
hui,hase und,LINE
kn,,DNA
mspo,,LINE/I
cg30479,dicistronic,DNA
cg30480,dicistronic,DNA
targ,,LTR
cg12860,,LTR
cg12861,,LTR
adgf-e,Adenosine deaminase-related growth factor,LTR
lncrna:cr42715,long non-coding,DNA
had2,beta Hydroxy acid dehydrogenase,DNA
uhg5,,DNA
snorna:me28s-g2703a,,DNA
ttv,,DNA
cg30076,,DNA
obp50e,Odorant-binding protein,LTR
obp50c,Odorant-binding protein,LTR
obp50b,Odorant-binding protein,LTR
obp50a,Odorant-binding protein,LTR
cg34444,,LTR
cg34443,,LTR
cg34442,,LTR
asrna:cr44368,antisense,DNA/P
cg18324,,DNA/P
cg18327,,DNA/P
cg8323,,DNA/P
eif3m,eukaryotic translation initiation factor 3 subunit,DNA/P
o-fut1,O-fucosyltransferase,DNA/P
cysrs-m,Cysteinyl-tRNA synthetase%2C,DNA/P
mir-4978,mir-4978 stem,DNA/RC
qvr,,LINE/CR1
trna:met-cat-1-2,,DNA/RC
tret1-1,Trehalose transporter,LINE/I
buffy,,LINE/I
cg13196,,LINE/I
wal,,DNA
cg13197,,LINE/I
ir48b,Ionotropic receptor,LINE/I
lncrna:cr45377,long non-coding,LINE/I
pyr,,DNA/RC
ths,,LINE/I
ir48c,Ionotropic receptor,LINE/I
cg13192,,DNA
sobp,Sine oculis-binding,DNA
cg34229,,DNA
s2p,site-2,DNA
sln,,DNA
mgtor,,DNA
reb,,LTR/Gypsy
lncrna:cr44305,long non-coding,LTR/Gypsy
lncrna:cr44312,long non-coding,DNA
exp,,DNA
polr3b,RNA polymerase III subunit,DNA
drep1,DNA fragmentation factor-related protein,DNA
cg44314,,DNA
drep3,DNA fragmentation factor-related protein,DNA
cg8888,,DNA/RC
cg13186,,DNA/RC
oda,Ornithine decarboxylase,LTR/Gypsy
asrna:cr46194,,LTR/Gypsy
mir-281-2,,LTR/Gypsy
mir-281-1,,LTR/Gypsy
cct5,Chaperonin containing TCP1 subunit,LTR/Gypsy
endog,Endonuclease,LTR/Gypsy
cyp6a22,Cytochrome P450,LTR/Gypsy
cyp6a17,Cytochrome P450,LTR/Gypsy
cyp6a23,Cytochrome P450,DNA
agps,Alkylglycerone phosphate,LINE/I
fam21,Family with sequence similarity,DNA
cg11180,,DNA
cg9945,,DNA
hil,,DNA
qsm,,LTR/COPIA
mgat1,Mannosyl (alpha-1%2C3-)-glycoprotein,DNA
lms,lateral muscles,DNA
cg13430,dicistronic,DNA
borcs7,BLOC-1 related complex subunit,DNA
cpr57a,Cuticular protein,DNA
obp57d,Odorant-binding protein,DNA
cg30148,,DNA
lncrna:cr44652,long non-coding,LTR/Gypsy
cg13427,,LTR/Gypsy
cg13423,,LTR/Gypsy
bbd,,DNA/RC
lncrna:cr44651,long non-coding,DNA/RC
gnbp-like3,GNBP-like,DNA
lncrna:cr44650,long non-coding,DNA
lncrna:cr44649,long non-coding,DNA
lncrna:cr44648,long non-coding,DNA
lncrna:cr44647,long non-coding,DNA
lncrna:cr44646,long non-coding,DNA
lncrna:cr44645,long non-coding,DNA
lncrna:cr44644,long non-coding,DNA
lncrna:cr44643,long non-coding,DNA/RC
side-viii,sidestep,DNA
cg11192,,DNA
med8,Mediator complex subunit,DNA
tapas,,LINE/I
cg13871,,LINE/I
lncrna:cr44642,long non-coding,DNA
cg13868,,DNA
cg11200,,DNA
cg9143,,DNA/RC
cg11788,,DNA/RC
cg10444,,DNA/RC
cg8908,,DNA/RC
asrna:cr43812,antisense,DNA/RC
rps18,Ribosomal protein,DNA/RC
pcna,Proliferating cell nuclear,DNA/RC
hsl,Hormone-sensitive,DNA/RC
cg11044,,DNA
trna:gly-gcc-1-10,,DNA
lncrna:cr45423,long non-coding,DNA
lncrna:cr45229,long non-coding,LTR/COPIA
lncrna:cr46534,long non-coding,LTR/COPIA
cg11041,,LTR/COPIA
lncrna:cr44636,long non-coding,DNA
lncrna:cr44635,long non-coding,DNA
lncrna:cr44634,long non-coding,DNA
18w,18,DNA
lncrna:cr44633,long non-coding,DNA
lncrna:cr44630,long non-coding,LINE/I
lncrna:cr44629,long non-coding,LTR/COPIA
lncrna:cr44628,long non-coding,LTR/COPIA
trna:arg-cct-1-1,,LTR/COPIA
trna:arg-cct-1-3,,DNA/RC
cg8654,,DNA
lncrna:cr43421,long non-coding,DNA
lncrna:cr44572,long non-coding,DNA
trna:lys-ctt-1-10,,DNA/PIFHARBINGER
trna:lys-ctt-1-11,,DNA/PIFHARBINGER
trna:glu-ttc-1-1,,DNA
trna:ile-aat-1-2,,DNA
obp56c,Odorant-binding protein,DNA
obp56b,Odorant-binding protein,DNA
obp56a,Odorant-binding protein,DNA
lncrna:cr44506,long non-coding,DNA
cg15128,,DNA
lncrna:cr44505,long non-coding,DNA
cg34198,,DNA
cg15127,,DNA
kpc2,Kip1 ubiquitination-promoting complex subunit,DNA
hrg,,DNA
lncrna:cr44213,long non-coding,LINE/I
cg15905,,LINE/I
cg43277,,DNA
mir-4983,mir-4983 stem,DNA
cg18367,,DNA
cg42753,,DNA
lncrna:cr44503,long non-coding,DNA
sm,,DNA
ttll6a,Tubulin tyrosine ligase-like,LTR
ir56d,Ionotropic receptor,DNA
ir56c,Ionotropic receptor,DNA
ir56b,Ionotropic receptor,DNA
trna:his-gtg-1-4,,DNA
par-1,,DNA
mei-w68,meiotic,DNA
cg7744,,DNA
betatub56d,beta-Tubulin at,DNA/RC
eloc,Elongin,DNA/RC
arl6,ADP ribosylation factor-like,DNA/RC
rpl11,Ribosomal protein,DNA/RC
snorna:psi28s-2444,,DNA/RC
spt5,,DNA/RC
fak,Focal adhesion,DNA/RC
hts,hu li tai,LTR/Gypsy
trna:val-aac-2-3,,LTR/Gypsy
trna:val-aac-2-1,,LTR/Gypsy
trna:val-aac-2-2,,LTR/Gypsy
trna:ser-cga-1-4,,LTR/Gypsy
snorna:hts-a,,LTR/Gypsy
cg10081,,LTR/Gypsy
cg10073,,LTR/Gypsy
cg10062,,DNA
cg9416,,DNA
cg11961,,DNA
rgk1,Rad%2C Gem/Kir family member,DNA
fest,,DNA/RC
cg34045,,LINE
oatp58db,Organic anion transporting polypeptide,DNA
oatp58dc,Organic anion transporting polypeptide,DNA
dve,defective,DNA/MAVERICK
lncrna:cr43422,long non-coding,DNA
cg5819,,DNA
wdp,,DNA
t3dh,Type III alcohol,LTR
pgc,polar granule,LTR
cg34208,,LTR
lncrna:cr44759,long non-coding,DNA
rtf1,,DNA
lncrna:cr45327,long non-coding,DNA
wrapper,,DNA
cg13506,,DNA/PIFHARBINGER
babos,,LINE/I
cg6044,,LINE/I
vepd,Ventrally-expressed protein,DNA
qkr58e-3,quaking related,DNA
pole4,DNA polymerase epsilon subunit,DNA
qkr58e-1,quaking related,DNA
qkr58e-2,quaking related,DNA
asrna:cr45152,antisense,DNA
mrps29,mitochondrial ribosomal protein,DNA
rad50,,DNA
cg4269,,LTR/Gypsy
cg4294,,LTR/Gypsy
rps16,Ribosomal protein,LTR/Gypsy
snorna:psi28s-1175b,,LTR/Gypsy
snorna:psi28s-1175a,,LTR/Gypsy
snorna:psi28s-1175c,,LTR/Gypsy
snorna:or-aca1,,LTR/Gypsy
tous,testes of unusual,DNA
cg33143,,DNA
cg17807,,DNA
cdk9,Cyclin-dependent kinase,DNA
bonsai,,DNA
cg3732,,DNA
rps24,Ribosomal protein,DNA
cg4250,,DNA
cg30269,dicistronic,LTR/Gypsy
cg30273,dicistronic,LTR/Gypsy
lncrna:cr44763,long non-coding,DNA
lncrna:cr44764,long non-coding,DNA
jbug,,DNA
asrna:cr30267,antisense,DNA
blw,,LTR/Gypsy
cycb,Cyclin,DNA/RC
stl,,DNA/RC
cg30271,,DNA
inad,inactivation no afterpotential,DNA
fd59a,forkhead domain,DNA
cg13532,,DNA
asrna:cr45469,antisense,DNA
pip5k59b,Phosphatidylinositol 4-phosphate 5-kinase,DNA
med23,Mediator complex subunit,LTR
cg3700,dicistronic,LTR
sigmar,salivary glands,LTR
l(2)dtl,,LTR
alg3,ALG3%2C alpha-1%2C3-,LTR
cg5504,,LTR
asrna:cr45326,antisense,LTR
sesn,,DNA
cg46429,dicistronic,DNA
cg18128,,DNA
lncrna:cr45325,long non-coding,DNA
mir-4979,mir-4979 stem,DNA
egl,,LTR
cg5532,,DNA/RC
sona,sol,DNA/RC
cg15800,,DNA/RC
glyt,Glycine,DNA
shu,,LTR/Gypsy
snap29,Synaptosomal-associated protein,LTR/Gypsy
cg5554,,LTR/Gypsy
ytr,,LTR/Gypsy
eif6,eukaryotic translation initiation factor,LTR/Gypsy
asrna:cr45928,antisense,LTR/Gypsy
gbb,glass bottom,LTR/Gypsy
bgcn,benign gonial cell,LTR/Gypsy
pym,Partner of Y14 and,LTR/Gypsy
tbph,TAR DNA-binding protein-43,LTR/Gypsy
dcp1,Decapping protein,DNA/PIFHARBINGER
dnalig1,DNA ligase,DNA/RC
upf3,,DNA/RC
cg17658,,DNA/RC
igl,,DNA
tud,,DNA
gyg,,LTR/Gypsy
rgk3,Rad%2C Gem/Kir family member,DNA
cg30393,,DNA
cg9485,,LTR
cg33655,,LTR
cg30394,,LTR
dom,,LTR
snorna:psi28s-3316a,,LTR
snorna:psi28s-3316b,,LTR
snorna:psi18s-841a,,LTR
snorna:me28s-a2589b,,LTR
snorna:psi28s-3378,,LTR
snorna:psi28s-3316e,,LTR
snorna:psi18s-841d,,LTR
snorna:me28s-a2589c,,LTR
cv-2,crossveinless,DNA
bisc,,DNA
eefsec,eukaryotic translation elongation factor%2C,DNA
acox57d-p,acyl-Coenzyme A oxidase at 57D,DNA
sdc,,DNA/RC
sara,Smad anchor for receptor,DNA/RC
fkbp14,FK506-binding protein,DNA/RC
taf1c-like,TATA box-binding protein-associated factor RNA polymerase I subunit,LTR/Gypsy
mesk2,Misexpression suppressor of KSR,LTR/Gypsy
cg10494,,DNA/RC
lncrna:cr44725,long non-coding,DNA
egfr,Epidermal growth factor,LINE/I
twz,,LINE/I
cg30222,,DNA
lncrna:cr45150,long non-coding,LINE/I
cg10433,,LINE/I
asrna:cr43243,antisense,LINE/I
cg15673,,LTR
cg18870,,LTR
sert,Serotonin,LTR
rpn8,Regulatory particle non-ATPase,LTR/Gypsy
slik,Sterile20-like,LTR/Gypsy
fatp3,Fatty acid transport protein,LINE/I
nvy,,LINE/I
cg3376,,DNA
nord,,LINE/I
ir60a,Ionotropic receptor,LINE/I
lncrna:cr44827,long non-coding,LINE/I
cg30419,,LTR/COPIA
cg11406,,LTR/COPIA
cg3356,,LTR/COPIA
tamo,,DNA/RC
cg43775,dicistronic,DNA/RC
cg43776,dicistronic,DNA/RC
cg43777,dicistronic,DNA/RC
cg3257,,DNA/RC
cg3253,,LTR/Gypsy
cg4049,,LTR/COPIA
yki,,DNA
rap2l,Ras-associated protein,DNA
rpl39,Ribosomal protein,DNA
rpl12,Ribosomal protein,DNA
eef5,eukaryotic translation elongation factor,DNA
cg13563,,DNA
gammasnap1,gamma Soluble NSF attachment protein,DNA
not11,CCR4-NOT transcription complex subunit,DNA/RC
man1,,DNA/RC
chi,,DNA/RC
cg30172,,DNA/RC
cg3163,,DNA/RC
hspc300,Haematopoietic stem/progenitor cell protein,DNA/RC
ebpiii,Ejaculatory bulb protein,DNA/RC
ak2,Adenylate kinase,DNA/RC
asrna:cr45350,antisense,DNA/RC
xxylt,Xyloside,DNA/RC
cg3907,,DNA/RC
rsph4a,Radial spoke head protein,DNA/RC
obsc,,DNA/RC
cg3860,,DNA/RC
pask,PAS,DNA/RC
phm,Peptidylglycine-alpha-hydroxylating,DNA/RC
cg30178,,DNA/RC
sox14,Sox box protein,LTR/Gypsy
alpha-catr,alpha-catenin,DNA
cg16787,,DNA
thoc5,,DNA
cg3803,,DNA
stoml2,Stomatin like,DNA
fzr2,fizzy-related,DNA
orcokinin,,DNA
galphas,G protein alpha subunit,DNA
taldo,,DNA
cg8079,,LTR/Gypsy
asrna:cr44370,antisense,LTR/Gypsy
fs,,LTR/Gypsy
scb,,DNA
itgaps4,Integrin alphaPS4,DNA
trpm,Transient receptor potential cation channel%2C subfamily,DNA
lncrna:cr44241,long non-coding,DNA
nd-51l2,NADH dehydrogenase (ubiquinone) 51 kDa subunit-like,DNA
cg8152,,DNA/RC
xpc,Xeroderma pigmentosum%2C complementation group,DNA/RC
cg8155,,DNA/RC
arf6,ADP ribosylation factor,DNA/RC
lncrna:cr45020,long non-coding,DNA
mtk,,DNA
ir52a,Ionotropic receptor,LTR/Gypsy
ir52d,Ionotropic receptor,LTR/COPIA
pgant1,Polypeptide N-Acetylgalactosaminyltransferase,LTR/Gypsy
khc-73,Kinesin heavy chain,DNA
cg30471,,DNA/RC
cg30467,,DNA/P
cg8187,,DNA/P
vha36-1,Vacuolar H[+] ATPase 36kD subunit,LINE/I
cg8192,,DNA/PIFHARBINGER
cg12963,,DNA/PIFHARBINGER
cg8195,,DNA/RC
flo1,Flotillin,DNA/RC
cdk5,Cyclin-dependent kinase,DNA/RC
cg8204,,DNA/RC
cg42524,,DNA
mir-278,,DNA
fus,,DNA
asrna:cr45143,antisense,DNA
gmppa,GDP-mannose pyrophosphorylase,DNA
vha14-1,Vacuolar H[+] ATPase 14kD subunit,DNA
impbeta11,Importin,DNA/RC
asrna:cr43429,antisense,DNA/RC
cep89,Centrosomal protein,DNA/RC
asrna:cr44372,antisense,DNA/RC
cg30087,,DNA/RC
cg30089,,LTR/Gypsy
zasp52,Z band alternatively spliced PDZ-motif protein,DNA
tun,,DNA/RC
poxn,Pox,DNA/RC
cg8249,,LINE/I
cglr1,cGAS-like receptor,DNA
gpo1,Glycerophosphate oxidase,DNA/RC
rif1,Rap1 interacting factor,DNA/RC
sli,,LTR/Gypsy
bdg,,LTR/Gypsy
diap2,Death-associated inhibitor of apoptosis,LTR/Gypsy
bug,bunker,LTR/Gypsy
mlf,Myelodysplasia/myeloid leukemia,LTR/Gypsy
rn-tre,Related to the N terminus of tre,LTR/Gypsy
cg6701,,LTR/Gypsy
cg18568,,LTR/Gypsy
st4,Sulfotransferase,LTR/Gypsy
phers-m,Phenylalanyl-tRNA synthetase%2C,LTR/Gypsy
ctsl1,Cathepsin,LTR/Gypsy
cg42806,,LTR/Gypsy
trap1,,DNA/RC
bap170,Brahma associated protein,LTR
fmo-2,Flavin-containing monooxygenase,LTR
debcl,Death executioner,LTR
tdc1,Tyrosine decarboxylase,LTR/Gypsy
lncrna:cr44164,long non-coding,LTR/Gypsy
cg15909,,LTR/Gypsy
tdc2,Tyrosine decarboxylase,LTR/Gypsy
mob4,MOB kinase activator,DNA
rab2,,DNA
chk,,DNA
cg45092,dicistronic,DNA
lncrna:cr43611,long non-coding,DNA
zip42c.1,Zinc/iron regulated transporter-related protein,DNA
zip42c.2,Zinc/iron regulated transporter-related protein,DNA
hlk,,DNA
phtf,,DNA
mccc2,Methylcrotonoyl-CoA carboxylase,DNA
eb1,,DNA
cg3420,,DNA/RC
cg9436,,DNA/RC
cyp6a2,Cytochrome P450,DNA
lncrna:cr44166,long non-coding,DNA
cg9445,,DNA
cg15236,,DNA
mir-4976,mir-4976 stem,DNA
cg10474,,DNA
coro,,DNA/RC
cg9447,,DNA/P
asrna:cr44169,antisense,DNA/P
spn42da,Serpin,DNA/P
spn42dc,Serpin,LTR/Gypsy
spn42dd,Serpin,LTR/Gypsy
spn42de,Serpin,LTR/Gypsy
cyp6u1,Cytochrome P450,DNA
ufsp1,UFM1 specific peptidase,DNA
tsp42ec,Tetraspanin,DNA/RC
tsp42eh,Tetraspanin,DNA
tsp42ei,Tetraspanin,DNA
cg33914,,DNA
tsp42ej,Tetraspanin,DNA
tsp42el,Tetraspanin,DNA
lbm,late,DNA/P
tsp42ep,Tetraspanin,DNA/RC
pgant3,Polypeptide N-Acetylgalactosaminyltransferase,DNA/RC
tsp42eq,Tetraspanin,DNA/RC
cg12836,,DNA/RC
trna:thr-agt-2-1,,DNA/RC
trna:thr-agt-1-2,,DNA/RC
esn,,DNA/RC
cg11060,,LTR/Gypsy
cg33140,,DNA/RC
cg30384,,DNA/RC
pwn,,DNA/P
cg12164,,DNA
dscam1,Down syndrome cell adhesion molecule,DNA
mir-4977,mir-4977 stem,DNA/RC
lncrna:cr44202,long non-coding,DNA
inos,myo-inositol-1-phosphate,DNA
cg11141,,DNA
aldh-iii,Aldehyde dehydrogenase type,DNA
wech,,DNA
cyt-b5,Cytochrome,DNA
gpo2,Glycerophosphate oxidase,DNA
cg1598,,DNA
corin,,DNA
rpe,,DNA/RC
u2a,,LTR
zda,,LTR
cth,Cystathionine,LTR
sec6,Secretory,LTR
atg7,Autophagy-related,LTR
cg5335,,LTR
cg5493,,LTR
cg5327,,LTR
cg5323,,DNA/RC
mrps28,mitochondrial ribosomal protein,DNA/RC
cg10927,,DNA/RC
cg42697,,DNA/RC
rgk2,Rad%2C Gem/Kir family member,DNA
lncrna:cr46271,long non-coding,DNA
pepck1,Phosphoenolpyruvate carboxykinase,DNA
cg45087,dicistronic,DNA
pepck2,Phosphoenolpyruvate carboxykinase,DNA
cg43066,,DNA
dnaaf3,Dynein axonemal assembly factor,DNA/RC
rswl,,DNA/RC
prp19,Pre-RNA processing factor,DNA/RC
cg30120,dicistronic,DNA/RC
lamtor2,Late endosomal/lysosomal adaptor%2C MAPK and MTOR activator,DNA/RC
slim,scruin like at the,DNA/RC
ttd14,TRPL translocation defect,DNA/RC
dp1,Dodeca-satellite-binding protein,LTR/Gypsy
imd,immune,LTR/Gypsy
gste9,Glutathione S transferase,LTR/Gypsy
gste8,Glutathione S transferase,LTR/Gypsy
gste7,Glutathione S transferase,LTR/Gypsy
gste6,Glutathione S transferase,LTR/Gypsy
gste4,Glutathione S transferase,LTR/Gypsy
gste3,Glutathione S transferase,LTR/Gypsy
gste1,Glutathione S transferase,LTR/COPIA
gste10,Glutathione S transferase,LTR/COPIA
idgf5,Imaginal disc growth factor,DNA
boms3,Bomanin Short,DNA
boms1,Bomanin Short,DNA
boms2,Bomanin Short,LTR/COPIA
bombc1,Bomanin Bicipital,LTR/Gypsy
tango8,Transport and Golgi organization,DNA
lncrna:cr44421,long non-coding,DNA/RC
lncrna:cr44420,long non-coding,DNA
fj,,DNA/RC
lncrna:cr45147,long non-coding,LTR/COPIA
cg30114,,LTR/COPIA
nopo,no,LTR
cg5726,,LTR
cg10916,,LTR
cg8388,,LTR
ufc1,Ubiquitin-fold modifier conjugating enzyme,LTR
tmem131,Transmembrane protein,LTR
atpcl,ATP citrate,DNA
cg8320,,LTR
pex11ab,Peroxin,LTR
cg8314,,DNA/P
strn-mlck,,DNA/P
lncrna:cr45021,long non-coding,DNA/P
cg8366,,DNA
cyp4aa1,Cytochrome P450,DNA
cox6al,Cytochrome c oxidase subunit,DNA/RC
cg8299,,DNA/RC
lncrna:cr44339,long non-coding,LTR/Gypsy
psc,Posterior sex,LTR/Gypsy
cg13321,,DNA
cg44250,,DNA
cg44251,,DNA
mdr49,Multi drug resistance,DNA
sans,Scaffold protein containing ankyrin repeats and SAM,LTR
sccro3,Squamous cell carcinoma-related oncogene,DNA/RC
cg17019,,LTR/Gypsy
sug,,LTR/Gypsy
cg13319,,LTR
nat1,,LTR
lncrna:cr44461,long non-coding,LTR/Gypsy
lncrna:cr46336,,LTR/Gypsy
lncrna:cr46337,,LTR/Gypsy
lncrna:cr46237,long non-coding,DNA/RC
vg,,DNA/RC
asrna:cr45141,antisense,DNA
lncrna:cr33942,,LTR/Gypsy
hs3st-a,Heparan sulfate 3-O,DNA
list,Lithium-inducible SLC6,DNA
lncrna:cr30121,long non-coding,LTR/Gypsy
cg18609,,DNA/RC
cyp12b2,Cytochrome P450,DNA
jabba,,DNA
mctp,Multiple C2 domain and transmembrane region,DNA
trna:leu-aag-1-4,,DNA
mfs14,Major Facilitator Superfamily Transporter,DNA/RC
lncrna:cr44468,long non-coding,DNA/RC
cg15096,,DNA/RC
lncrna:cr43418,long non-coding,DNA/RC
lncrna:cr46234,long non-coding,DNA/RC
phb2,Prohibitin,DNA
cg15097,,DNA
cg15082,,LINE/I
cg15098,,LINE/I
cg15083,,DNA
cg15099,,DNA
vha100-3,Vacuolar H[+] ATPase 100kD subunit,LTR/Gypsy
tn,,DNA
5-ht1b,5-hydroxytryptamine (serotonin) receptor,DNA
gpxl,Glutathione,DNA
cg15109,,DNA
5-ht1a,5-hydroxytryptamine (serotonin) receptor,DNA
cg15117,,LTR/Gypsy
botv,brother of,DNA/RC
cg15118,,LTR/Gypsy
cg15111,,LTR/Gypsy
ena,,DNA/RC
lncrna:cr43399,long non-coding,DNA/RC
cg10737,,DNA/RC
hppy,,DNA/RC
cg7137,,DNA
cora,,DNA
wbl,,DNA
lncrna:cr44432,long non-coding,DNA
cg11906,,DNA/PIFHARBINGER
cg4945,,DNA/PIFHARBINGER
rps15,Ribosomal protein,DNA/PIFHARBINGER
cg4927,,DNA/PIFHARBINGER
lst,,DNA/PIFHARBINGER
cdk4,Cyclin-dependent kinase,DNA/PIFHARBINGER
asrna:cr44375,antisense,DNA/RC
rplp2,Ribosomal protein,DNA/RC
dolk,Dolichol,DNA/RC
cg8306,,DNA/RC
flz,,DNA/RC
spab,space,DNA
babo,,DNA
tom7,Translocase of outer membrane,DNA
cg33199,,DNA
cg8229,,DNA
cg8230,,DNA
lncrna:cr44273,long non-coding,DNA
cg13748,,DNA
fanci,Fanconi anemia complementation group,DNA
barab,Baramicin,DNA
pan2,Poly(A)-binding protein-dependent poly(A) ribonuclease,DNA/RC
aimp1,aaRS-interacting multifunctional protein,DNA/RC
cg8237,,DNA/RC
cg8243,,DNA/RC
spt,Spitting,DNA/RC
cg8248,,DNA/RC
cg34219,,DNA/RC
lin,,DNA/RC
pgi,Phosphoglucose,DNA/RC
cg30349,,DNA
cg8252,,DNA
cct8,Chaperonin containing TCP1 subunit,DNA
ggamma1,G protein gamma subunit,LINE
mrgbp,MRG/MORF4L binding,LINE
cg13751,,LINE
ana2,anastral spindle,LTR/COPIA
sec31,Secretory,LTR/COPIA
dctn2-p50,Dynactin 2%2C p50,DNA/RC
ryr,Ryanodine,LTR/Gypsy
sns,sticks and,DNA
blo,,DNA
pgrp-sc1a,Peptidoglycan recognition protein,DNA/RC
cg14744,,DNA/RC
cg12376,,DNA/RC
cg8586,,DNA
jon44e,Jonah,DNA
acsl,Acyl-CoA synthetase,DNA
uqcr-11l,Ubiquinol-cytochrome c reductase 11 kDa,LINE/CR1
ptc,,LINE/CR1
lncrna:cr44281,long non-coding,DNA/P
lnpk,,DNA/RC
lncrna:cr44279,long non-coding,DNA/RC
cyp4e1,Cytochrome P450,DNA/RC
lncrna:cr44450,long non-coding,DNA/RC
lncrna:ts18,long noncoding RNA: testis-specific,DNA/RC
lncrna:cr44448,long non-coding,DNA/P
lncrna:cr44447,long non-coding,DNA/P
mir-280,,DNA/P
lncrna:cr44280,long non-coding,DNA
cg30375,,DNA
cg30376,,DNA/RC
cg14759,,DNA/RC
cg14760,,DNA
cg44439,,LTR/COPIA
lncrna:cr44445,long non-coding,LTR/Gypsy
lncrna:cr44276,long non-coding,LTR/Gypsy
pnut,,LTR/Gypsy
dpn,,LTR/Gypsy
sisrna:cr46360,,LTR/Gypsy
sisrna:4,stable intronic sequence RNA,LTR/Gypsy
asrna:cr44275,antisense,LTR/Gypsy
cg34217,,LTR/Gypsy
lrp1,LDL receptor protein,LINE/I
cg14757,,DNA/P
mlh1,,DNA/P
gasz,,DNA/P
rs1,,DNA/P
snorna:meu6-c68,,DNA/P
cg30373,,DNA/P
sgp,,DNA/P
ragc-d,Ras-related GTP binding,DNA/P
kermit,,DNA/P
lpin,,DNA/P
sut3,sugar transporter,DNA/RC
sut2,sugar transporter,DNA/RC
sut1,sugar transporter,DNA/RC
slv,,DNA/RC
vps28,Vacuolar protein sorting,DNA/RC
lig,,DNA/RC
cg12769,,LTR/Gypsy
optix,,DNA/RC
cg11191,,DNA
hey,Hairy/E(spl)-related with YRPW,DNA
dic3,Dicarboxylate carrier,DNA/RC
lncrna:cr44272,long non-coding,DNA/RC
nup44a,Nucleoporin at,DNA/RC
acc,Acetyl-CoA,DNA/RC
cg8726,,LINE/I
nito,,LINE/I
cg14763,,LINE/I
septin5,Septin,LINE/I
cg2915,,LINE/I
cg2906,,LINE/I
cg14764,,LINE/I
cg30378,,DNA/RC
azot,,DNA/RC
cg30379,,DNA/RC
cg30380,,DNA/RC
cg8728,,DNA/RC
cg30056,,LTR/COPIA
cg33775,,LTR/COPIA
cyp301a1,Cytochrome P450,LTR/COPIA
ak6,Adenylate kinase,LTR/COPIA
stil,stand,LTR/Gypsy
clc-b,Chloride,LTR/Gypsy
sin3a,,DNA
lncrna:cr30055,long non-coding,DNA
amph,,DNA
lncrna:cr45279,long non-coding,DNA
lncrna:cr43909,long non-coding,DNA
galphaq,G protein alpha subunit,DNA/P
cg45086,dicistronic,DNA/P
cg30054,,DNA/P
cg17760,,DNA/RC
muskelin,,DNA/RC
cg33792,,DNA/RC
spt4,,DNA/RC
mvk,Mevalonate,DNA/RC
cg33672,dicistronic,DNA/RC
iswi,Imitation,DNA/RC
cg8778,,DNA
znt49b,Zinc transporter,DNA
cg8646,,DNA
nemy,no extended,DNA
gls,,DNA/RC
cg8768,,DNA/P
mrpl18,mitochondrial ribosomal protein,DNA/RC
ox,,DNA/RC
dgkepsilon,Diacyl glycerol kinase,DNA/RC
nacalpha,Nascent polypeptide associated complex protein alpha,DNA/RC
cg12374,,DNA/RC
lncrna:cr45266,long non-coding,LINE/CR1
lncrna:cr44453,long non-coding,LINE/CR1
cyp9h1,Cytochrome P450,LINE/CR1
or49b,Odorant receptor,LINE/CR1
cg17575,,LINE/CR1
cg30486,,LINE/I
asrna:cr45468,antisense,LINE/I
vps51,Vacuolar protein sorting,LINE/I
cg15073,,LINE/I
sik3,Salt-inducible kinase,LINE/I
cg15071,,LTR/Gypsy
cg42855,,LTR/COPIA
cg44433,,LTR/COPIA
cg44434,dicistronic,DNA/P
cg44435,dicistronic,DNA/P
edl,ETS-domain,LTR/Gypsy
asrna:cr45142,antisense,LTR/Gypsy
spt-i,Serine palmitoyltransferase subunit,LTR/Gypsy
agbe,1%2C4-Alpha-Glucan Branching,LTR/Gypsy
cg17724,dicistronic,LTR/Gypsy
seq,,LTR/Gypsy
kdm4b,Lysine demethylase,LTR/Gypsy
valrs,Valyl-tRNA,LTR/Gypsy
cg34315,dicistronic,LTR/Gypsy
orc3,Origin recognition complex subunit,LTR/Gypsy
aqp,,DNA/RC
cg4630,,DNA/RC
cg4646,,DNA/RC
cg17059,,DNA/RC
fsn,F-box synaptic,DNA/RC
dp,DP transcription,DNA/RC
pex13,Peroxin,DNA
fsd,,DNA
qsox1,Quiescin sulfhydryl oxidase,DNA
cg4676,,DNA
cg4679,,DNA
gste14,Glutathione S transferase,DNA
lncrna:cr45278,long non-coding,DNA/RC
mp20,Muscle protein,LTR/Gypsy
cg4714,,LTR/Gypsy
lncrna:cr44343,long non-coding,LTR/Gypsy
cg42319,,DNA/RC
dh31-r,Diuretic hormone 31,DNA
cg4734,,LINE/CR1
cg17047,,LINE/CR1
lncrna:cr44206,long non-coding,DNA/RC
mir-184,,DNA/RC
cg17048,,DNA
lncrna:cr45312,long non-coding,DNA/RC
cg10814,,DNA/RC
cg43691,,DNA
attc,,DNA/RC
cg4744,,DNA/RC
baraa2,Baramicin,DNA/RC
cg18278,,DNA/PIFHARBINGER
cg30060,,DNA/RC
trna:leu-caa-2-3,,DNA/RC
arr,,LTR
cbc,crowded by,LTR
cid,centromere,LTR
bbc,bb in a,LTR
